hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
3004200010,"Tetracyclines or their derivs, for human use, in dosage",3004,300420,198801,200111,153,2,338,31043164,201112,,no,no
3004200010,"Tetracyclines or their derivatives, for human use, in dosage",3004,300420,200201,201112,105,2,258,16949339,201112,,yes,yes
3004200011,"Medicaments containing cephalosporins, for human use, in doses/packings frs",3004,300420,201201,202606,174,0,1402,343971034,,,,
3004200012,"Medicaments containing vancomycin, for human use, in doses/pack for retail sale",3004,300420,201201,202606,169,1,473,143107474,,,,
3004200013,"Medicaments containing erythromycin, for human use,in doses/pack for retail sale",3004,300420,201201,202606,162,2,419,85156162,,,,
3004200018,"Medicaments containing macrolide,o/t erythromycin,f human use,doses/pack frs,nes",3004,300420,201201,202606,174,0,835,256165673,,,,
3004200019,"Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004,300420,201201,202606,174,0,5936,1895929597,,,,
3004200020,"Cephalosporins, for human use, in dosage",3004,300420,198801,201112,288,0,1935,952412146,201112,,yes,yes
3004200031,"Erythromycin, for human use, in dosage",3004,300420,198801,201112,281,1,963,217132160,201112,,yes,yes
3004200039,"Macrolide antibiotics nes, for human use, in dosage",3004,300420,198801,200112,160,2,502,48798319,201112,,no,no
3004200039,"Macrolide antibiotics, nes, for human use, in dosage",3004,300420,200201,201112,116,1,495,314746228,201112,,yes,yes
3004200041,"Gentamycins, for human use, in dosage",3004,300420,198801,201112,208,14,392,23415016,201112,,yes,yes
3004200042,"Kanamycins, for human use, in dosage",3004,300420,198910,199007,2,8,2,4757,199106,,no,yes
3004200049,"Aminoglycoside antibiotics, nes, for human use, in dosage",3004,300420,198801,201112,276,2,844,86823169,201112,,yes,yes
3004200051,"Bacitracin, for human use, in dosage",3004,300420,199003,201112,183,6,264,11061879,201112,,yes,yes
3004200052,"Polymyxins, for human use, in dosage",3004,300420,198801,199611,22,26,23,1094147,199712,,no,yes
3004200059,"Polypeptide antibiotics, nes, for human use, in dosage",3004,300420,198801,199712,116,2,220,187741033,201112,,no,no
3004200059,"Polypeptides antibiotics, nes, for human use, in dosage",3004,300420,199801,201112,168,0,586,27238930,201112,,yes,yes
3004200061,"Chloramphenicol, for human use, in dosage",3004,300420,198802,201110,126,16,167,2971734,201112,,no,yes
3004200062,"Mitomycin C, for human use, in dosage",3004,300420,198803,201110,85,12,85,11650860,201112,,no,yes
3004200063,"Vancomycin, for human use, in dosage",3004,300420,198801,201112,263,3,448,142830549,201112,,yes,yes
3004200064,"Rifamycins, for human use, in dosage",3004,300420,198801,199106,17,7,18,510375,199112,,no,no
3004200064,"Lincomycin, for human use, in dosage",3004,300420,199112,199112,1,0,1,219,199112,,yes,yes
3004200065,"Lincomycin, for human use, in dosage",3004,300420,198812,198904,3,2,3,128029,199112,,no,yes
3004200066,"Spectinomycin, for human use, in dosage",3004,300420,198801,199101,4,23,4,185394,199106,,no,yes
3004200069,"Antibiotics, nes, for human use, in dosage",3004,300420,198801,201112,288,0,6320,2133828374,201112,,yes,yes
3004200070,"Antibiotics, nes, for vet use, in dosage",3004,300420,198801,198812,12,0,110,4291483,198812,,yes,yes
