record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
EXR-30043200-200201,exports:3004.32.00:2002-01,exports,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,4416759120,EX-30043210-198801,3004.32.10,198801,3,3,13,3004.32.00;3004.32.10;3004.32.20
EXR-30043210-198801,exports:3004.32.10:1988-01,exports,3004.32.10,"Adrenal cortical hormones, in dosage, for human use",198801,198812,3924008,EX-30043210-198801,3004.32.10,198801,3,3,13,3004.32.00;3004.32.10;3004.32.20
EXR-30043220-198802,exports:3004.32.20:1988-02,exports,3004.32.20,"Adrenal cortical hormones, in dosage, for veterinary use",198802,198811,47163,EX-30043210-198801,3004.32.10,198801,3,3,13,3004.32.00;3004.32.10;3004.32.20
EXR-30043900-198901,exports:3004.39.00:1989-01,exports,3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",198901,200112,633301759,EX-30043910-198801,3004.39.10,198801,3,3,14,3004.39.00;3004.39.10;3004.39.20
EXR-30043900-200201,exports:3004.39.00:2002-01,exports,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,17458512244,EX-30043910-198801,3004.39.10,198801,3,3,14,3004.39.00;3004.39.10;3004.39.20
EXR-30043910-198801,exports:3004.39.10:1988-01,exports,3004.39.10,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",198801,198812,6819167,EX-30043910-198801,3004.39.10,198801,3,3,14,3004.39.00;3004.39.10;3004.39.20
EXR-30043920-198801,exports:3004.39.20:1988-01,exports,3004.39.20,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",198801,198812,304529,EX-30043910-198801,3004.39.10,198801,3,3,14,3004.39.00;3004.39.10;3004.39.20
EXR-30044000-198801,exports:3004.40.00:1988-01,exports,3004.40.00,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",198801,201612,1560656123,EX-30044000-198801,3004.40.00,198801,2,2,15,3004.40.00;3004.49.00
EXR-30044100-201701,exports:3004.41.00:2017-01,exports,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202605,104471710,EX-30044100-201701,3004.41.00,201701,1,1,35,3004.41.00
EXR-30044200-201701,exports:3004.42.00:2017-01,exports,3004.42.00,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202606,43140759,EX-30044200-201701,3004.42.00,201701,1,1,36,3004.42.00
EXR-30044300-201703,exports:3004.43.00:2017-03,exports,3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201703,202203,497680,EX-30044300-201703,3004.43.00,201703,1,1,39,3004.43.00
EXR-30044900-201701,exports:3004.49.00:2017-01,exports,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,1158394031,EX-30044000-198801,3004.40.00,198801,2,2,15,3004.40.00;3004.49.00
EXR-30045000-198901,exports:3004.50.00:1989-01,exports,3004.50.00,"Vitamins and their derivatives,in dosage",198901,200112,450642793,EX-30045010-198801,3004.50.10,198801,3,3,16,3004.50.00;3004.50.10;3004.50.20
EXR-30045000-200201,exports:3004.50.00:2002-01,exports,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,3654760823,EX-30045010-198801,3004.50.10,198801,3,3,16,3004.50.00;3004.50.10;3004.50.20
EXR-30045010-198801,exports:3004.50.10:1988-01,exports,3004.50.10,"Vitamins and their derivatives,in dosage for human use",198801,198812,5171012,EX-30045010-198801,3004.50.10,198801,3,3,16,3004.50.00;3004.50.10;3004.50.20
EXR-30045020-198801,exports:3004.50.20:1988-01,exports,3004.50.20,"Vitamins and their derivatives,in dosage for veterinary use",198801,198812,1105557,EX-30045010-198801,3004.50.10,198801,3,3,16,3004.50.00;3004.50.10;3004.50.20
EXR-30046000-201701,exports:3004.60.00:2017-01,exports,3004.60.00,"Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",201701,202606,40290657,EX-30046000-201701,3004.60.00,201701,1,1,37,3004.60.00
EXR-30049000-198901,exports:3004.90.00:1989-01,exports,3004.90.00,"Medicaments nes, in dosage",198901,201612,62584070826,EX-30049010-198801,3004.90.10,198801,4,4,17,3004.90.00;3004.90.10;3004.90.20;3004.90.90
EXR-30049000-201701,exports:3004.90.00:2017-01,exports,3004.90.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201701,201712,4449244871,EX-30049010-198801,3004.90.10,198801,4,4,17,3004.90.00;3004.90.10;3004.90.20;3004.90.90
EXR-30049010-198801,exports:3004.90.10:1988-01,exports,3004.90.10,"Medicaments nes, in dosage, for human use",198801,198812,52047406,EX-30049010-198801,3004.90.10,198801,4,4,17,3004.90.00;3004.90.10;3004.90.20;3004.90.90
EXR-30049010-201802,exports:3004.90.10:2018-02,exports,3004.90.10,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",201802,202606,230767263,EX-30049010-201802,3004.90.10,201802,1,1,41,3004.90.10
EXR-30049020-198801,exports:3004.90.20:1988-01,exports,3004.90.20,"Medicaments nes, in dosage, for veterinary use",198801,198812,5163106,EX-30049010-198801,3004.90.10,198801,4,4,17,3004.90.00;3004.90.10;3004.90.20;3004.90.90
