span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
exports:3006.30.00:1988-01,exports,3006.30.00,"Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",198801,202606,5171928861,1,0,0,3006.30.00,3006.30.00,"Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",198801,202606,active
exports:3006.40.00:1988-01,exports,3006.40.00,Dental cements & other dental fillings; bone reconstruction cements,198801,202606,708003729,1,0,0,3006.40.00,3006.40.00,Dental cements & other dental fillings; bone reconstruction cements,198801,202606,active
exports:3006.50.00:1988-01,exports,3006.50.00,First-aid boxes and kits,198801,202606,55762354,1,0,0,3006.50.00,3006.50.00,First-aid boxes and kits,198801,202606,active
exports:3006.60.00:1988-01,exports,3006.60.00,"Contraceptive prep based on hormones, on other prod of No 29.37 or spermicides",198801,200112,83095477,1,0,1,3006.60.00,3006.60.00,"Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",200201,202606,active
exports:3006.60.00:2002-01,exports,3006.60.00,"Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",200201,202606,1271478326,1,0,0,3006.60.00,3006.60.00,"Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",200201,202606,active
exports:3006.70.00:2002-05,exports,3006.70.00,"Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",200205,202606,74625926,1,0,0,3006.70.00,3006.70.00,"Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",200205,202606,active
exports:3006.80.00:2002-09,exports,3006.80.00,Waste pharmaceuticals,200209,200612,4595187,2,1,0,3006.80.00 -> 3006.92.00,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,active
exports:3006.91.00:2007-02,exports,3006.91.00,Appliances identifiable for ostomy use,200702,202606,10551487,1,0,0,3006.91.00,3006.91.00,Appliances identifiable for ostomy use,200702,202606,active
exports:3006.92.00:2007-03,exports,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,20697596,1,0,0,3006.92.00,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,active
exports:3006.93.00:2022-01,exports,3006.93.00,"Placebos,blinded or double blinded clinical trial kits, put up in measured doses",202201,202606,214588047,1,0,0,3006.93.00,3006.93.00,"Placebos,blinded or double blinded clinical trial kits, put up in measured doses",202201,202606,active
