record_id,family_id,flow,step_number,steps_in_journey,hs_code,description,step_first_period,step_last_period,rewordings_within_step,step_status,next_hs_code
EXR-30049010-201802,EX-30049010-201802,exports,1,1,3004.90.10,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",201802,202606,0,active,
EXR-30049020-198801,EX-30049010-198801,exports,1,3,3004.90.20,"Medicaments nes, in dosage, for veterinary use",198801,198812,0,succeeded,3004.90.00
EXR-30049020-198801,EX-30049010-198801,exports,2,3,3004.90.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",198901,201712,1,succeeded,3004.90.90
EXR-30049020-198801,EX-30049010-198801,exports,3,3,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,0,active,
EXR-30049090-201801,EX-30049010-198801,exports,1,1,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,0,active,
EXR-30051000-198801,EX-30051000-198801,exports,1,1,3005.10.00,Dressings and other articles having an adhesive layer,198801,202606,0,active,
EXR-30059000-198801,EX-30059000-198801,exports,1,1,3005.90.00,"Dressings & similar articles,impreg or coated or packaged for med use, nes",198801,202606,0,active,
EXR-30061000-198801,EX-30061000-198801,exports,1,1,3006.10.00,"Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",198801,202606,1,active,
EXR-30061000-200201,EX-30061000-198801,exports,1,1,3006.10.00,"Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",200201,202606,0,active,
EXR-30062000-198801,EX-30062000-198801,exports,1,1,3006.20.00,Blood-grouping reagents,198801,202112,0,left_chapter,
EXR-30063000-198801,EX-30063000-198801,exports,1,1,3006.30.00,"Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",198801,202606,0,active,
EXR-30064000-198801,EX-30064000-198801,exports,1,1,3006.40.00,Dental cements & other dental fillings; bone reconstruction cements,198801,202606,0,active,
EXR-30065000-198801,EX-30065000-198801,exports,1,1,3006.50.00,First-aid boxes and kits,198801,202606,0,active,
EXR-30066000-198801,EX-30066000-198801,exports,1,1,3006.60.00,"Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",198801,202606,1,active,
EXR-30066000-200201,EX-30066000-198801,exports,1,1,3006.60.00,"Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",200201,202606,0,active,
EXR-30067000-200205,EX-30067000-200205,exports,1,1,3006.70.00,"Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",200205,202606,0,active,
EXR-30068000-200209,EX-30068000-200209,exports,1,2,3006.80.00,Waste pharmaceuticals,200209,200612,0,succeeded,3006.92.00
EXR-30068000-200209,EX-30068000-200209,exports,2,2,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,0,active,
EXR-30069100-200702,EX-30069100-200702,exports,1,1,3006.91.00,Appliances identifiable for ostomy use,200702,202606,0,active,
EXR-30069200-200703,EX-30068000-200209,exports,1,1,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,0,active,
EXR-30069300-202201,EX-30069300-202201,exports,1,1,3006.93.00,"Placebos,blinded or double blinded clinical trial kits, put up in measured doses",202201,202606,0,active,
