record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
IMR-3004200041-198801,imports:3004.20.00.41:1988-01,imports,3004.20.00.41,"Gentamycins, for human use, in dosage",198801,201112,23415016,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200042-198910,imports:3004.20.00.42:1989-10,imports,3004.20.00.42,"Kanamycins, for human use, in dosage",198910,199007,4757,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200049-198801,imports:3004.20.00.49:1988-01,imports,3004.20.00.49,"Aminoglycoside antibiotics, nes, for human use, in dosage",198801,201112,86823169,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200051-199003,imports:3004.20.00.51:1990-03,imports,3004.20.00.51,"Bacitracin, for human use, in dosage",199003,201112,11061879,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200052-198801,imports:3004.20.00.52:1988-01,imports,3004.20.00.52,"Polymyxins, for human use, in dosage",198801,199611,1094147,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200059-198801,imports:3004.20.00.59:1988-01,imports,3004.20.00.59,"Polypeptide antibiotics, nes, for human use, in dosage",198801,199712,187741033,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200059-199801,imports:3004.20.00.59:1998-01,imports,3004.20.00.59,"Polypeptides antibiotics, nes, for human use, in dosage",199801,201112,27238930,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200061-198802,imports:3004.20.00.61:1988-02,imports,3004.20.00.61,"Chloramphenicol, for human use, in dosage",198802,201110,2971734,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200062-198803,imports:3004.20.00.62:1988-03,imports,3004.20.00.62,"Mitomycin C, for human use, in dosage",198803,201110,11650860,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200063-198801,imports:3004.20.00.63:1988-01,imports,3004.20.00.63,"Vancomycin, for human use, in dosage",198801,201112,142830549,IM-3004200063-198801,3004.20.00.63,198801,2,2,27,3004.20.00.12;3004.20.00.63
