year,hs10,tariff_item8,description,uom
2007,3004.20.00.39,3004.20.00,Other,-
2007,3004.20.00.41,3004.20.00,Containing gentamycins,-
2007,3004.20.00.49,3004.20.00,Other,-
2007,3004.20.00.51,3004.20.00,Containing bacitracin,-
2007,3004.20.00.59,3004.20.00,Other,-
2007,3004.20.00.61,3004.20.00,Containing chloramphenicol,-
2007,3004.20.00.62,3004.20.00,Containing mitomycin C,-
2007,3004.20.00.63,3004.20.00,Containing vancomycin,-
2007,3004.20.00.69,3004.20.00,Other,-
2007,3004.20.00.71,3004.20.00,Containing ivermectin,-
2007,3004.20.00.79,3004.20.00,Other,-
2007,3004.31.00.10,3004.31.00,"Insulin, whether or not mixed with zinc, globin or protamine, prepared for parenteral administration",-
2007,3004.31.00.90,3004.31.00,Other,-
2007,3004.32.00.11,3004.32.00,Containing hydrocortisone,-
2007,3004.32.00.19,3004.32.00,Other,-
