uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
EXR-30041020-198801,"3004.10.20 - Penicillins or streptomycins and their derivatives,in dosage,for vet use (Terminated 1988-12)",EX-30041010-198801,1,3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for veterinary use",1988-01,1988-12,succeeded,3004.10.00,1988-01,1988-12
EXR-30041020-198801,"3004.10.20 - Penicillins or streptomycins and their derivatives,in dosage,for vet use (Terminated 1988-12)",EX-30041010-198801,2,3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",1988-01,1988-12,active,,1989-01,2026-06
EXR-30042000-198901,"3004.20.00 - Antibiotics nes, in dosage",EX-30042010-198801,1,3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1989-01,2001-12,active,,1989-01,2026-06
EXR-30042000-200201,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",EX-30042010-198801,1,3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,active,,2002-01,2026-06
EXR-30042010-198801,"3004.20.10 - Antibiotics nes, in dosage, for human use (Terminated 1988-12)",EX-30042010-198801,1,3004.20.10,"Antibiotics not elsewhere specified, in dosage, for human use",1988-01,1988-12,succeeded,3004.20.00,1988-01,1988-12
EXR-30042010-198801,"3004.20.10 - Antibiotics nes, in dosage, for human use (Terminated 1988-12)",EX-30042010-198801,2,3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,1989-01,2026-06
EXR-30042020-198801,"3004.20.20 - Antibiotics nes, in dosage, for veterinary use (Terminated 1988-12)",EX-30042010-198801,1,3004.20.20,"Antibiotics not elsewhere specified, in dosage, for veterinary use",1988-01,1988-12,succeeded,3004.20.00,1988-01,1988-12
EXR-30042020-198801,"3004.20.20 - Antibiotics nes, in dosage, for veterinary use (Terminated 1988-12)",EX-30042010-198801,2,3004.20.00,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,1989-01,2026-06
EXR-30043100-198803,"3004.31.00 - Insulin, in dosage",EX-30043100-198803,1,3004.31.00,"Medicaments,containing insulin,in doses/forms/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-03,1999-09,active,,1988-03,2026-06
EXR-30043100-200207,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",EX-30043100-198803,1,3004.31.00,"Medicaments,containing insulin,in doses/forms/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-07,2026-06,active,,2002-07,2026-06
EXR-30043200-198901,"3004.32.00 - Adrenal cortical hormones, not containing antibiotics, in dosage",EX-30043210-198801,1,3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1989-01,2001-12,active,,1989-01,2026-06
EXR-30043200-200201,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",EX-30043210-198801,1,3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,active,,2002-01,2026-06
EXR-30043210-198801,"3004.32.10 - Adrenal cortical hormones, in dosage, for human use (Terminated 1988-12)",EX-30043210-198801,1,3004.32.10,"Adrenal cortical hormones, in dosage, for human use",1988-01,1988-12,succeeded,3004.32.00,1988-01,1988-12
EXR-30043210-198801,"3004.32.10 - Adrenal cortical hormones, in dosage, for human use (Terminated 1988-12)",EX-30043210-198801,2,3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,1989-01,2026-06
EXR-30043220-198802,"3004.32.20 - Adrenal cortical hormones, in dosage, for veterinary use (Terminated 1988-12)",EX-30043210-198801,1,3004.32.20,"Adrenal cortical hormones, in dosage, for veterinary use",1988-02,1988-11,succeeded,3004.32.00,1988-02,1988-11
EXR-30043220-198802,"3004.32.20 - Adrenal cortical hormones, in dosage, for veterinary use (Terminated 1988-12)",EX-30043210-198801,2,3004.32.00,"Medicaments,containing corticosteroid hormone/derivative/structure analog,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-02,1988-11,active,,1989-01,2026-06
EXR-30043900-198901,"3004.39.00 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",EX-30043910-198801,1,3004.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,for retail sale",1989-01,2001-12,active,,1989-01,2026-06
EXR-30043900-200201,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",EX-30043910-198801,1,3004.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,for retail sale",2002-01,2026-06,active,,2002-01,2026-06
EXR-30043910-198801,"3004.39.10 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use (Terminated 1988-12)",EX-30043910-198801,1,3004.39.10,"Hormones not elsewhere specified, not containing antibiotics, in dosage,other than contraceptive,human use",1988-01,1988-12,succeeded,3004.39.00,1988-01,1988-12
EXR-30043910-198801,"3004.39.10 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use (Terminated 1988-12)",EX-30043910-198801,2,3004.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,for retail sale",1988-01,1988-12,active,,1989-01,2026-06
