uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
IMR-3003909990-199501,3003.90.99.90,IM-3003901000-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
IMR-3004100010-201201,3004.10.00.10,IM-3004100011-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004100011-198801,3004.10.00.11,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100011-200208,3004.10.00.11,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100012-198801,3004.10.00.12,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100012-199208,3004.10.00.12,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100012-200304,3004.10.00.12,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100013-198801,3004.10.00.13,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100013-199201,3004.10.00.13,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100013-200201,3004.10.00.13,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100014-198801,3004.10.00.14,IM-3004100011-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
IMR-3004100019-198801,3004.10.00.19,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100019-200201,3004.10.00.19,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100020-198801,3004.10.00.20,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100020-200201,3004.10.00.20,IM-3004100011-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100031-198801,3004.10.00.31,IM-3004100031-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100031-200201,3004.10.00.31,IM-3004100031-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100032-198802,3004.10.00.32,IM-3004100031-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100032-200201,3004.10.00.32,IM-3004100031-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004100090-201201,3004.10.00.90,IM-3004100031-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004200010-198801,3004.20.00.10,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200010-200201,3004.20.00.10,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200011-201201,3004.20.00.11,IM-3004200020-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004200012-201201,3004.20.00.12,IM-3004200063-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004200013-201201,3004.20.00.13,IM-3004200031-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004200018-201201,3004.20.00.18,IM-3004200039-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004200019-201201,3004.20.00.19,IM-3004200010-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3004200020-198801,3004.20.00.20,IM-3004200020-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200031-198801,3004.20.00.31,IM-3004200031-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200039-198801,3004.20.00.39,IM-3004200039-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200039-200201,3004.20.00.39,IM-3004200039-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200041-198801,3004.20.00.41,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200042-198910,3004.20.00.42,IM-3004200010-198801,analyst;official_record,"the analyst preferred the second alternative to the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided;second,
IMR-3004200049-198801,3004.20.00.49,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200051-199003,3004.20.00.51,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200052-198801,3004.20.00.52,IM-3004200010-198801,analyst;official_record,"the analyst preferred the second alternative to the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided;second,
IMR-3004200059-198801,3004.20.00.59,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200059-199801,3004.20.00.59,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200061-198802,3004.20.00.61,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200062-198803,3004.20.00.62,IM-3004200010-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200063-198801,3004.20.00.63,IM-3004200063-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3004200064-198801,3004.20.00.64,IM-3004200010-198801,analyst;official_record,"the analyst preferred the second alternative to the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided;second,
IMR-3004200064-199112,3004.20.00.64,IM-3004200010-198801,analyst;official_record,"the analyst preferred the second alternative to the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided;second,
IMR-3004200065-198812,3004.20.00.65,IM-3004200010-198801,analyst;official_record,"the analyst accepted the proposal | the analyst preferred the second alternative to the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided;second,
IMR-3004200066-198801,3004.20.00.66,IM-3004200010-198801,analyst;official_record,"the analyst preferred the second alternative to the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided;second,
